Compound,Compound Class,Composite (Y or N),Oxided or nitrided,Presence of Carbon,Carbon Structures,N-doped Carbon Structure (0 or 1),Doping (other than TMs),Morphology Category,Grown on,"Porous - 1, Non-Porous - 0",Substrates,Presence of atoms (other than TMs),Cobalt atoms,Nickel atoms,Iron atoms,Molybdenum atoms,Manganese atoms,Copper atoms,Zinc atoms,Chromium Atoms,Vanadium Atoms,Tungsten atoms,Titanium atoms,Average d electrons,Is Average d electrons>=5? Yes (1) or no (0),pH,Catalyst Loading (mg/cm2),Catalyst>=1 or not,Overpotential (mV),Grade
CoCrOx,Co,0,0,0,0,0,0,8,0,0,GC,0,1,0,0,0,0,0,0,1,0,0,0,2.428571429,0,14,0.4,0,326,A
FeCrOx,Fe,0,0,0,0,0,0,8,0,0,GC,0,0,0,1,0,0,0,0,1,0,0,0,2.428571429,0,14,0.4,0,344,A
Zn-Co3O4,Co,1,0,0,0,0,0,7,3,1,TM_based,0,3,0,0,0,0,0,0.057,0,0,0,0,2.428571429,0,13,0.45,0,182,A
Co3−xFexO4,Co,0,0,0,0,0,0,6,0,1,carbon_based,0,2.883,0,0.117,0,0,0,0,0,0,0,0,2.428571429,0,14,0.5,0,337,A
NiCo2O4/NF,Co,1,0,0,0,0,0,7,1,1,NF,0,2,1,0,0,0,0,0,0,0,0,0,2.428571429,0,13,0.57,0,370,F
Co3O4/CC,Co,1,0,1,3,0,0,2,2,1,carbon_based,0,3,0,0,0,0,0,0,0,0,0,0,2.428571429,0,13,0.82,0,320,A
Co3O4/CC,Co,1,0,1,3,0,0,2,2,1,carbon_based,0,3,0,0,0,0,0,0,0,0,0,0,2.428571429,0,14,0.82,0,320,A
Co3O4@C,Co,1,0,1,3,0,0,4,1,1,GC,0,6.2,0,0,0,0,0,0,0,0,0,0,2.428571429,0,14,1,1,261,A
CuCoO / NF,Co,1,0,0,0,0,0,2,1,1,NF,0,1,0,0,0,0,1,0,0,0,0,0,2.428571429,0,14,1,1,325,A
Co3O4/NiCo2O4,Co,1,0,0,0,0,0,4,0,1,NF,0,5,1,0,0,0,0,0,0,0,0,0,2.428571429,0,14,1,1,340,A
Co3O4,Co,0,0,0,0,0,0,6,0,1,NF,0,3,0,0,0,0,0,0,0,0,0,0,2.428571429,0,14,1,1,403,F
NiCo2O4,Co,0,0,0,0,0,0,2,0,0,GC,0,2,1,0,0,0,0,0,0,0,0,0,2.428571429,0,14,1.06,1,430,F
Co2.25Cr0.75O4,Co,0,0,0,0,0,0,3,0,0,GC,0,2.25,0,0,0,0,0,0,0.75,0,0,0,2.428571429,0,14,1.68,1,332,A
NiMoO4–CoMoO4,Ni,1,0,0,0,0,0,4,0,1,NF,0,1,1,0,2,0,0,0,0,0,0,0,2.428571429,0,14,7,1,300,A
ZnCo2O4/ZnO/CF,Co,1,0,1,1,0,0,4,2,0,carbon_based,0,2,0,0,0,0,0,2,0,0,0,0,2.428571429,0,14,,,313,A
NiCo2O4,Co,1,0,1,3,0,0,2,2,1,carbon_based,0,2,1,0,0,0,0,0,0,0,0,0,2.428571429,0,14,,,320,A
Co3O4,Co,0,0,0,0,0,0,5,0,0,carbon_based,0,3,0,0,0,0,0,0,0,0,0,0,2.428571429,0,13,,,399,F
Fe0.75Ni0.25Co2O4,Co,0,0,0,0,0,0,2,0,0,NF,0,2,0.25,0.75,0,0,0,0,0,0,0,0,2.428571429,0,14,,,400,F
Fe0.9Ni0.1Co2O4,Co,0,0,0,0,0,0,2,0,0,NF,0,2,0.1,0.9,0,0,0,0,0,0,0,0,2.428571429,0,14,,,410,F
NiCo2O4,Co,0,0,0,0,0,0,7,0,0,GC,0,2,1,0,0,0,0,0,0,0,0,0,2.428571429,0,14,,,426,F
Co3O4,Co,0,0,0,0,0,0,6,0,0,GC,0,3,0,0,0,0,0,0,0,0,0,0,2.428571429,0,14,,,433,F
Co3O4,Co,0,0,0,0,0,0,6,0,1,GC,0,3,0,0,0,0,0,0,0,0,0,0,2.57,0,13,0.1,0,411,F
Co3O4/NrGO,Co,1,0,1,4,1,0,3,0,0,GC,0,3,0,0,0,0,0,0,0,0,0,0,2.57,0,14,0.14,0,440,F
CoO-Co/NCNT,Co,1,0,1,1,1,0,3,2,0,GC,0,2,0,0,0,0,0,0,0,0,0,0,2.57,0,14,0.21,0,380,F
