Compound,Compound Class,Composite (Y or N),Oxided or nitrided,Overpotential (mV),Stability (h),"iR correction 
"
CoO,Co,0,0,320,12,1
FeCo-Co4N/NC,Co,1,1,280,12,1
Co3FeNx,Co,0,1,222,8.33,1
Co3O4,Co,0,0,335,-,1
NiCo2O3,Co,0,0,480,-,-
CoOx/NC,Co,1,1,260,1.66,1
Co3FeNx,Co,0,1,241,-,1
Co3FeNx,Co,0,1,254,-,1
Co3O4/N-rmgo,Co,1,1,310,6.94,1
Co3O4/C,Co,1,0,290,30,1
Co3O4,Co,0,0,399,-,-
NiO/CoN,Co,1,1,300,48,1
NiCo2O4,Co,0,0,325,-,1
CoVFeN,Co,1,1,212,100,1
CoFeN@NF,Co,1,1,411,-,1
CoVN,Co,1,1,277,-,1
Co2VO4,Co,1,0,275,,1
LiCo0.8Fe0.2O2,Co,0,0,340,5,1
LiCoO2,Co,0,0,430,2.5,1
Co3O4,Co,0,0,390,-,1
NiCo2−xFexO4,Co,1,0,274,25,1
NiCo2−xFexO4,Co,0,0,336,10,1
Co3−xFexO4,Co,0,0,337,-,1
NiCo2O4,Co,0,0,330,-,1
P-Co3O4,Co,1,0,280,11.11,-
Co4N/CNW,Co,1,1,310,20,-
CoN,Co,1,1,251,35,1
CoON,Co,0,1,230,20,-
CoO-NiO-NiCo/NCNT,Co,1,0,270,11.11,0
CoO-Co/NCNT,Co,1,0,380,-,0
CFP/NiCo2O4/ Co0.57Ni0.43 LMO,Co,1,0,340,6,1
CFP/NiCo2O4,Co,1,0,550,-,1
ZnO-CoOx/CPEC,Co,1,0,276,24,1
CoO/Co4N,Co,1,1,398,20,-
NiCo2O4/NiO,Co,1,0,360,11,-
NiCo2O4,Co,0,0,430,-,-
FeCoO,Co,0,0,308,2.78,1
FeCo3O,Co,0,0,348,-,1
Fe3CoO,Co,0,0,323,-,1
FeCo9O,Co,0,0,420,-,1
FeCoO,Co,0,0,400,-,1
Co3O4 - 35,Co,0,0,411,-,-
NiCoN,Co,0,1,360,20,1
CoMnON/n-rgo,Co,1,1,350,5.55,1
Co3O4/C-MWCNT,Co,1,0,320,25,-
Co3O4,Co,0,0,293,120,-
CoOx,Co,0,0,270,40,1
CoOx,Co,0,0,296,-,1
CoOx,Co,0,0,318,-,1
Co3O4,Co,0,0,345,-,1
CoOx,Co,1,0,320,-,1
Fe-Co3O4,Co,0,0,262,50,1
Co3O4,Co,0,0,314,-,1
Co3O4/CeO2,Co,1,0,270,10,1
Co3O4,Co,0,0,430,-,1
Co3O4,Co,0,0,374,-,1
2%Te-Co3O4,Co,0,0,475,-,1
4%Te-Co3O4,Co,0,0,353,-,1
6%Te-Co3O4,Co,0,0,313,8.3333,1
8%Te-Co3O4,Co,0,0,358,-,1
NiCo2O4,Co,0,0,370,-,-
Co3O4,Co,0,0,410,-,-
Co3O4/NiCo2O4,Co,1,0,320,60,-
ZnxCo3–xO4,Co,0,0,337,12,-
NixCo3–xO4,Co,0,0,363,-,-
CuxCo3–xO4,Co,0,0,395,-,-
Co3O4,Co,0,0,422,-,-
NiCo2O4,Co,0,0,320,30,1
NiCo2O4,Co,1,0,378,-,1
NiCo2O4,Co,0,0,350,-,1
Fe-Co3V2O8,Co,1,0,307,11,1
Co4N-VN1-xOx/CC,Co,1,1,263,20,1
Co4N,Co,0,1,327,-,1
Co4N-VN1-xOx/CC,Co,1,1,311,-,1
Co4N-VN1-xOx/CC,Co,1,1,303,-,1
NiCo2O4,Co,0,0,360,50,-
Co3O4,Co,0,0,440,-,-
Co3O4,Co,0,0,358,-,1
