Compound,Compound Class,Composite (Y or N),Presence of Carbon,Carbon Structures,N-doped Carbon Structure (0 or 1),Doping (other than TMs),Morphology Category,Grown on,"Porous - 1, Non-Porous - 0",Substrates,Presence of atoms (other than TMs),Cobalt atoms,Nickel atoms,Iron atoms,Molybdenum atoms,Manganese atoms,Copper atoms,Zinc atoms,Chromium Atoms,Vanadium Atoms,Tungsten atoms,Titanium atoms,Average d electrons,pH,Catalyst Loading (mg/cm2),Overpotential (mV)
NiCr0.5Fe1.5O4,Fe,0,0,0,0,0,3,0,0,GC,0,0,1,1.5,0,0,0,0,0.5,0,0,0,,14,,320
Fe3CoO,Co,0,1,3,0,0,7,0,0,GC,0,1,0,3,0,0,0,0,0,0,0,0,5.425,13,0.36,323
Zn0.2Co2.8O4,Co,0,0,0,0,0,3,0,0,GC,0,2.8,0,0,0,0,0,0.2,0,0,0,0,4.333333333,13,1,325
CoCrOx,Co,0,0,0,0,0,8,0,0,GC,0,1,0,0,0,0,0,0,1,0,0,0,2.428571429,14,0.4,326
Co3O4,Co,0,0,0,0,0,2,0,0,GC,0,3,0,0,0,0,0,0,0,0,0,0,2.57,14,0.64,327
CoOx,Co,0,0,0,0,0,8,0,0,GC,0,1,0,0,0,0,0,0,0,0,0,0,5.6,14,0.4,327
Co3O4,Co,0,0,0,0,0,3,0,0,NF,0,3,0,0,0,0,0,0,0,0,0,0,5.2,14,1,328
NiO,Ni,0,1,3,0,0,6,0,0,NF,0,0,1,0,0,0,0,0,0,0,0,0,2.57,14,1,328
NiCo2O4,Co,0,0,0,0,0,6,0,1,carbon_based,0,2,1,0,0,0,0,0,0,0,0,0,3.5,14,0.5,330
NiFe2O4,Fe,0,0,0,0,0,2,0,1,GC,0,0,1,2,0,0,0,0,0,0,0,0,1.6,14,0.665,330
NaNiO2,Ni,0,0,0,0,1,8,0,0,NF,11,0,1,0,0,0,0,0,0,0,0,0,3.5,14,0.13,330
Mn2O3,Other TMs,0,0,0,0,0,6,0,0,NF,0,0,0,0,0,2,0,0,0,0,0,0,2.57,14,3,330
Co2.25Cr0.75O4,Co,0,0,0,0,0,3,0,0,GC,0,2.25,0,0,0,0,0,0,0.75,0,0,0,2.428571429,14,1.68,332
CoOx,Co,0,0,0,0,0,8,0,0,NF,0,1,0,0,0,0,0,0,0,0,0,0,6,14,0.4,333
NiCo2O4,Ni,0,0,0,0,0,7,0,0,GC,0,2,1,0,0,0,0,0,0,0,0,0,5.6,14,0.35,333
Co3O4,Co,0,0,0,0,0,7,0,1,GC,0,3,0,0,0,0,0,0,0,0,0,0,,13,0.34,335
NiFeOx,Fe,0,0,0,0,0,7,0,0,NF,0,0,1,1,0,0,0,0,0,0,0,0,,14,,335
NiO,Ni,0,0,0,0,0,7,0,0,NF,0,0,1,0,0,0,0,0,0,0,0,0,,14,,335
NiCo2−xFexO4,Co,0,0,0,0,0,3,0,0,carbon_based,0,1.883,1,0.117,0,0,0,0,0,0,0,0,5.6,14,0.5,336
Co3−xFexO4,Co,0,0,0,0,0,6,0,1,carbon_based,0,2.883,0,0.117,0,0,0,0,0,0,0,0,2.428571429,14,0.5,337
ZnxCo3–xO4,Co,0,0,0,0,0,6,0,1,GC,0,2.23,0,0,0,0,0,1,0,0,0,0,1.272727273,14,0.21,337
Co3O4 ,Co,0,0,0,0,0,3,0,0,NF,0,3,0,0,0,0,0,0,0,0,0,0,5.918083462,14,1,339
Co2V2O7,Co,0,0,0,0,0,7,0,1,GC,0,2,0,0,0,0,0,0,0,2,0,0,2.857,14,0.28,340
LiCo0.8Fe0.2O2,Co,0,1,3,0,0,8,0,0,GC,3,0.8,0,0.2,0,0,0,0,0,0,0,0,5.6,12.6,0.232,340
NiFe2O4,Fe,0,0,0,0,0,2,0,1,GC,0,0,1,2,0,0,0,0,0,0,0,0,,14,0.12,342
Co2.25Cr0.75O4,Co,0,0,0,0,0,3,0,0,GC,0,2.25,0,0,0,0,0,0,0.75,0,0,0,,14,1.26,344
FeCrOx,Fe,0,0,0,0,0,8,0,0,GC,0,0,0,1,0,0,0,0,1,0,0,0,2.428571429,14,0.4,344
FeCo3O,Co,0,1,3,0,0,7,0,0,GC,0,3,0,1,0,0,0,0,0,0,0,0,5.625,13,0.36,348
Co2.25Cr0.75O4,Co,0,0,0,0,0,3,0,0,GC,0,2.25,0,0,0,0,0,0,0.75,0,0,0,2.57,14,0.84,350
Fe0.5Ni0.5Co2O4,Co,0,0,0,0,0,2,0,0,NF,0,2,0.5,0.5,0,0,0,0,0,0,0,0,,14,,350
Ni3FeOx,Ni,0,0,0,0,0,6,0,1,GC,0,0,3,1,0,0,0,0,0,0,0,0,,14,0.203,352
4%Te-Co3O4,Co,0,0,0,0,1,3,0,0,GC,52,3,0,0,0,0,0,0,0,0,0,0,2.428571429,14,0.24,353
CoOx,Co,0,0,0,0,0,8,0,0,GC,0,1,0,0,0,0,0,0,0,0,0,0,1.615384615,14,0.4,353
8%Te-Co3O4,Co,0,0,0,0,1,3,0,0,GC,52,3,0,0,0,0,0,0,0,0,0,0,,14,0.24,358
Co3O4,Co,0,0,0,0,0,3,0,0,GC,0,3,0,0,0,0,0,0,0,0,0,0,2.57,13,1,358
Co3V2O8,Co,0,0,0,0,0,3,0,1,GC,0,3,0,0,0,0,0,0,0,2,0,0,3.285714286,14,0.21,359
NiMoO4,Ni,0,0,0,0,0,7,0,1,NF,0,0,1,0,1,0,0,0,0,0,0,0,5.6,14,7,359
Co2.5Cr0.5O4,Co,0,0,0,0,0,3,0,0,GC,0,2.5,0,0,0,0,0,0,0.5,0,0,0,6,14,0.84,360
NiCo2O4,Co,0,0,0,0,0,6,0,1,NF,0,2,1,0,0,0,0,0,0,0,0,0,6,14,0.12,360
NiCr0.8Fe1.2O4,Fe,0,0,0,0,0,3,0,0,GC,0,0,1,1.2,0,0,0,0,0.8,0,0,0,,14,,360
NixCo3–xO4,Co,0,0,0,0,0,6,0,1,GC,0,2.25,1,0,0,0,0,0,0,0,0,0,5.25,14,0.21,363
Co2.25Cr0.75O4,Co,0,0,0,0,0,3,0,0,GC,0,2.25,0,0,0,0,0,0,0.75,0,0,0,4,14,0.42,367
CoO,Co,0,0,0,0,0,3,0,0,carbon_based,0,1,0,0,0,0,0,0,0,0,0,0,4.857142857,14,2.5,369
Co2CrO4,Co,0,0,0,0,0,3,0,0,GC,0,2,0,0,0,0,0,0,1,0,0,0,5.15,14,0.84,370
NiO,Ni,0,0,0,0,0,7,0,0,NF,0,0,1,0,0,0,0,0,0,0,0,0,4,0,,370
Co3O4,Co,0,0,0,0,0,7,0,0,GC,0,3,0,0,0,0,0,0,0,0,0,0,6,14,,374
Co3O4,Co,0,0,0,0,0,3,0,0,GC,0,3,0,0,0,0,0,0,0,0,0,0,,14,0.24,374
Co3O4,Co,0,0,0,0,0,2,0,1,GC,0,3,0,0,0,0,0,0,0,0,0,0,,14,0.285,375
CoGaOx,Co,0,0,0,0,1,8,0,0,carbon_based,31,1,0,0,0,0,0,0,0,0,0,0,6,14,0.4,377
FeGaOx,Fe,0,0,0,0,1,8,0,0,TM_based,31,0,0,1,0,0,0,0,0,0,0,0,2,14,0.4,377
CoGaOx,Co,0,0,0,0,1,8,0,0,GC,31,1,0,0,0,0,0,0,0,0,0,0,,14,0.4,378
CoGaOx,Co,0,0,0,0,1,8,0,0,TM_based,31,1,0,0,0,0,0,0,0,0,0,0,,14,0.4,378
Co1.25Cr1.75O4,Co,0,0,0,0,0,3,0,0,GC,0,1.25,0,0,0,0,0,0,1.75,0,0,0,2.857,14,0.84,380
Co1.75Cr1.25O4,Co,0,0,0,0,0,3,0,0,GC,0,1.75,0,0,0,0,0,0,1.25,0,0,0,,14,0.84,380
Co2.25Cr0.75O4,Co,0,0,0,0,0,3,0,0,GC,0,2.25,0,0,0,0,0,0,0.75,0,0,0,1.814285714,14,0.21,380
Co2.75Cr0.25O4,Co,0,0,0,0,0,3,0,0,GC,0,2.75,0,0,0,0,0,0,0.25,0,0,0,,14,0.84,380
ZnCo2O4,Co,0,0,0,0,0,6,0,1,GC,0,2,0,0,0,0,0,1,0,0,0,0,2.035714286,14,0.21,380
Fe0.25Ni0.75Co2O4,Co,0,0,0,0,0,2,0,0,NF,0,2,0.75,0.25,0,0,0,0,0,0,0,0,4.25,14,,380
FeGaOx,Fe,0,0,0,0,1,8,0,0,GC,31,0,0,1,0,0,0,0,0,0,0,0,2.142857143,14,0.4,381
Co3O4,Co,0,0,0,0,0,3,0,1,GC,0,3,0,0,0,0,0,0,0,0,0,0,2.428571429,14,0.21,384
Co3O4,Co,0,0,0,0,0,6,0,1,carbon_based,0,3,0,0,0,0,0,0,0,0,0,0,1.333333333,14,0.5,390
Co1.5Cr1.5O4,Co,0,0,0,0,0,3,0,0,GC,0,1.5,0,0,0,0,0,0,1.5,0,0,0,3,14,0.84,390
NiMoO4,Ni,0,0,0,0,0,8,0,0,GC,0,0,1,0,1,0,0,0,0,0,0,0,5.285714286,13,0.124,390
CoOx,Co,0,0,0,0,0,8,0,0,carbon_based,0,1,0,0,0,0,0,0,0,0,0,0,,14,0.4,394
Co2.25Cr0.75O4,Co,0,0,0,0,0,3,0,0,GC,0,2.25,0,0,0,0,0,0,0.75,0,0,0,2.428571429,14,0.168,394
CuxCo3–xO4,Co,0,0,0,0,0,6,0,1,GC,0,2,0,0,0,0,1,0,0,0,0,0,,14,0.21,395
Co3O4,Co,0,0,0,0,0,5,0,0,carbon_based,0,3,0,0,0,0,0,0,0,0,0,0,2.428571429,13,,399
Co2.25Cr0.75O4,Co,0,0,0,0,0,3,0,0,GC,0,2.25,0,0,0,0,0,0,0.75,0,0,0,,14,0.126,400
CoCr2O4,Co,0,0,0,0,0,3,0,0,GC,0,1,0,0,0,0,0,0,2,0,0,0,4,14,0.84,400
CuCo2O4,Co,0,0,0,0,0,3,0,0,GC,0,2,0,0,0,0,1,0,0,0,0,0,6,14,0.14,400
Fe0.75Ni0.25Co2O4,Co,0,0,0,0,0,2,0,0,NF,0,2,0.25,0.75,0,0,0,0,0,0,0,0,2.428571429,14,,400
FeCoO,Co,0,1,3,0,0,3,0,0,GC,0,1,0,1,0,0,0,0,0,0,0,0,2.428571429,13,0.36,400
NiFe2O4,Fe,0,0,0,0,0,3,0,0,GC,0,0,1,2,0,0,0,0,0,0,0,0,,14,,401
Co3O4,Co,0,0,0,0,0,6,0,1,NF,0,3,0,0,0,0,0,0,0,0,0,0,2.428571429,14,1,403
FeOx,Fe,0,0,0,0,0,8,0,0,TM_based,0,0,0,1,0,0,0,0,0,0,0,0,2.571428571,14,0.4,407
CoMoO4,Co,0,0,0,0,0,2,0,0,GC,0,1,0,0,1,0,0,0,0,0,0,0,6,14,0.125,410
Fe0.9Ni0.1Co2O4,Co,0,0,0,0,0,2,0,0,NF,0,2,0.1,0.9,0,0,0,0,0,0,0,0,2.428571429,14,,410
FeCo2O4,Co,0,0,0,0,0,2,0,0,NF,0,2,0,1,0,0,0,0,0,0,0,0,4,14,,410
NiFe2O4,Fe,0,0,0,0,0,3,0,0,carbon_based,0,0,1,2,0,0,0,0,0,0,0,0,,13,2.6,410
Co3O4,Co,0,0,0,0,0,6,0,1,GC,0,3,0,0,0,0,0,0,0,0,0,0,2.57,13,0.1,411
Co3O4,Co,0,0,0,0,0,2,0,0,GC,0,3,0,0,0,0,0,0,0,0,0,0,,14,,414
Co3O4,Co,0,0,0,0,0,2,0,0,GC,0,3,0,0,0,0,0,0,0,0,0,0,2.428571429,14,0.285,414
NiO,Ni,0,0,0,0,0,6,0,1,GC,0,0,1,0,0,0,0,0,0,0,0,0,3.5,14,0.203,415
NiO,Ni,0,0,0,0,0,2,0,0,GC,0,0,1,0,0,0,0,0,0,0,0,0,5.033333333,14,0.4,418
Co2.25Cr0.75O4,Co,0,0,0,0,0,3,0,0,GC,0,2.25,0,0,0,0,0,0,0.75,0,0,0,4,14,0.084,420
Co3O4,Co,0,0,0,0,0,3,0,0,GC,0,3,0,0,0,0,0,0,0,0,0,0,2.428571429,14,0.14,420
NiO,Ni,0,0,0,0,0,6,0,0,NF,0,0,1,0,0,0,0,0,0,0,0,0,4,14,0.12,420
FeCo9O,Co,0,1,3,0,0,7,0,0,GC,0,9,0,1,0,0,0,0,0,0,0,0,2.57,13,0.36,420
Co3O4,Co,0,0,0,0,0,6,0,1,GC,0,3,0,0,0,0,0,0,0,0,0,0,2.57,14,0.21,422
NiO,Ni,0,0,0,0,0,7,0,0,GC,0,0,1,0,0,0,0,0,0,0,0,0,2.57,14,0.35,425
Co3O4,Co,0,0,0,0,0,3,0,0,GC,0,3,0,0,0,0,0,0,0,0,0,0,,13,0.2,426
NiCo2O4,Co,0,0,0,0,0,7,0,0,GC,0,2,1,0,0,0,0,0,0,0,0,0,2.428571429,14,,426
NiCo2O4,Co,0,0,0,0,0,3,0,0,GC,0,2,1,0,0,0,0,0,0,0,0,0,1.814285714,14,,426
NiO,Ni,0,0,0,0,0,6,0,0,GC,0,0,1,0,0,0,0,0,0,0,0,0,6,13,0.2,427
