Compound,Compound Class,Composite (Y or N),Presence of Carbon,Carbon Structures,N-doped Carbon Structure (0 or 1),Doping (other than TMs),Morphology Category,Grown on,"Porous - 1, Non-Porous - 0",Substrates,Presence of atoms (other than TMs),Cobalt atoms,Nickel atoms,Iron atoms,Molybdenum atoms,Manganese atoms,Copper atoms,Zinc atoms,Chromium Atoms,Vanadium Atoms,Tungsten atoms,Titanium atoms,Average d electrons,pH,Catalyst Loading (mg/cm2),Overpotential (mV)
NiCo2O4/NF,Co,1,0,0,0,0,7,1,1,NF,0,2,1,0,0,0,0,0,0,0,0,0,,14,0.6,284
NiFeOx,Fe,1,0,0,0,0,7,1,1,NF,0,0,1,1,0,0,0,0,0,0,0,0,6.75,14,,285
Co3O4@CoS,Co,1,0,0,0,1,4,1,0,GC,16,2.91,0,0,0,0,0,0,0,0,0,0,,14,1,289
MnCo2O4/NF,Co,1,0,0,0,0,6,1,1,NF,0,2,0,0,0,1,0,0,0,0,0,0,5.142857143,14,,289
NaNi0.9Fe0.1O2,Ni,1,0,0,0,1,8,0,0,NF,11,0,0.9,0.1,0,0,0,0,0,0,0,0,,14,0.13,290
Ni1.5Fe1.5-O,Fe,1,0,0,0,0,2,1,1,NF,0,0,1.5,1.5,0,0,0,0,0,0,0,0,7,14,0.15,290
Co3O4/C,Co,1,1,3,0,0,2,3,1,TM_based,0,3,0,0,0,0,0,0,0,0,0,0,,13,0.2,290
P-Co3O4,Co,1,0,0,0,1,7,3,0,TM_based,15,3,0,0,0,0,0,0,0,0,0,0,,13,0.4,291
Ni2Fe1-O,Ni,1,0,0,0,0,2,0,1,GC,0,0,2,1,0,0,0,0,0,0,0,0,,14,0.05,293
NiO/Ni,Ni,1,0,0,0,0,6,1,1,TM_based,0,0,1,0,0,0,0,0,0,0,0,0,2.8,14,,294
NiMoO4–CoMoO4,Ni,1,0,0,0,0,4,0,1,NF,0,1,1,0,2,0,0,0,0,0,0,0,2.428571429,14,7,300
CoWO/NF,Co,1,0,0,0,0,6,1,1,NF,0,4,0,0,0,0,0,0,0,0,6,0,1.25,14,,300
Co3O4@Co3O4,Co,1,0,0,0,0,4,1,1,GC,0,3.37,0,0,0,0,0,0,0,0,0,0,,14,1,301
Co3O4/RuO2,Co,1,0,0,0,1,6,0,0,GC,44,3,0,0,0,0,0,0,0,0,0,0,,14,0.285,305
S-NiO/NF,Ni,1,0,0,0,0,7,1,1,NF,16,0,1,0,0,0,0,0,0,0,0,0,6.5,14,,306
Co3O4,Co,1,0,0,0,0,3,0,0,NF,0,3,0,0,0,0,0,0,0,0,0,0,3.5,14,1,308
NiCo2O4/NF,Co,1,0,0,0,0,2,1,1,NF,0,2,1,0,0,0,0,0,0,0,0,0,5.25,14,1,308
Fe-NiOx,Fe,1,0,0,0,0,2,0,0,GC,0,0,1,1,0,0,0,0,0,0,0,0,,14,0.4,310
NiCo2O4@NiWO4,Co,1,0,0,0,0,2,1,1,NF,0,2,2,0,0,0,0,0,0,0,1,0,4.25,14,,310
Co3O4/N-rmgo,Co,1,1,4,1,0,6,2,0,NF,0,3,0,0,0,0,0,0,0,0,0,0,3.5,14,1,310
CoMoO4,Co,1,0,0,0,0,6,0,1,GC,0,1,0,0,1,0,0,0,0,0,0,0,3.928571429,14,0.285,312
ZnCo2O4/ZnO/CF,Co,1,1,1,0,0,4,2,0,carbon_based,0,2,0,0,0,0,0,2,0,0,0,0,2.428571429,14,,313
NiOx/NiCo2O4/Co3O4,Ni,1,0,0,0,0,4,1,0,TM_based,0,2,5,0,0,0,0,0,0,0,0,0,6,14,,315
CoFe2O4/C,Fe,1,1,3,0,0,8,1,1,NF,0,1,0,2,0,0,0,0,0,0,0,0,,14,1.03,315
Ni1Fe2-O,Fe,1,0,0,0,0,2,1,1,NF,0,0,1,2,0,0,0,0,0,0,0,0,,14,0.15,316
NaNi0.8Fe0.2O2,Ni,1,0,0,0,1,8,0,0,NF,11,0,0.8,0.2,0,0,0,0,0,0,0,0,6,14,0.13,320
Co3O4@C-MWCNT,Co,1,1,3,1,0,3,0,1,GC,0,3,0,0,0,0,0,0,0,0,0,0,,14,0.325,320
Co3O4/NF,Co,1,0,0,0,0,7,1,1,NF,0,3,0,0,0,0,0,0,0,0,0,0,6,14,,320
Co3O4/NiCo2O4/NF,Co,1,0,0,0,0,4,1,1,NF,0,6.61,1,0,0,0,0,0,0,0,0,0,,13,1,320
NiCoMoO/NF,Ni,1,0,0,0,0,7,1,1,NF,0,1,1,0,1,0,0,0,0,0,0,0,3.75,14,10.5,320
delta-MnO2,Other TMs,1,0,0,0,0,7,1,1,NF,0,0,0,0,0,1,0,0,0,0,0,0,,13.6,,320
Co3O4/CC,Co,1,1,3,0,0,2,2,1,carbon_based,0,3,0,0,0,0,0,0,0,0,0,0,2.8125,14,0.82,320
Co3O4/CC,Co,1,1,3,0,0,2,2,1,carbon_based,0,3,0,0,0,0,0,0,0,0,0,0,2.428571429,14,0.82,320
Co3O4/CC,Co,1,1,3,0,0,2,2,1,carbon_based,0,3,0,0,0,0,0,0,0,0,0,0,2.428571429,13,0.82,320
NiCo2O4,Co,1,1,3,0,0,2,2,1,carbon_based,0,2,1,0,0,0,0,0,0,0,0,0,2.428571429,14,,320
Co3O4  -RMGO,Co,1,1,4,0,0,6,2,0,NF,0,3,0,0,0,0,0,0,0,0,0,0,3.5,14,1,320
CuCoO / NF,Co,1,0,0,0,0,2,1,1,NF,0,1,0,0,0,0,1,0,0,0,0,0,2.428571429,14,1,325
NiCo2O4,Co,1,1,1,0,0,2,2,0,carbon_based,0,2,1,0,0,0,0,0,0,0,0,0,6,14,0.2,325
Co2.6Fe7.4Ox / NPC,Fe,1,1,2,1,0,7,0,1,GC,0,2.6,0,7.4,0,0,0,0,0,0,0,0,5.6,14,0.357,328
NaNi0.75Fe0.25O2,Ni,1,0,0,0,1,8,0,0,NF,11,0,0.75,0.25,0,0,0,0,0,0,0,0,3.5,14,0.13,330
MoO2,Other TMs,1,0,0,0,0,7,1,1,NF,0,0,0,0,1,0,0,0,0,0,0,0,,14,3.4,330
NiCo2O4/NF,Co,1,0,0,0,0,6,1,1,NF,0,2,1,0,0,0,0,0,0,0,0,0,0.6666666667,14,,330
NiCo2O4@MnO2,Co,1,0,0,0,0,4,2,1,carbon_based,0,2,1,0,0,1,0,0,0,0,0,0,5.6,14,0.6,337
Co3O4/NF,Co,1,0,0,0,0,2,1,1,NF,0,3,0,0,0,0,0,0,0,0,0,0,5.918083462,14,1.5,339
Co3O4/NiCo2O4,Co,1,0,0,0,0,4,0,1,NF,0,5,1,0,0,0,0,0,0,0,0,0,2.428571429,14,1,340
Co–Fe–O/rgo,Co,1,1,4,0,0,3,0,0,GC,0,2,0,1,0,0,0,0,0,0,0,0,3.5,14,0.1,340
NiCo2O4/NF,Co,1,0,0,0,0,7,1,1,NF,0,2,1,0,0,0,0,0,0,0,0,0,4.33,14,,340
ZnCo2O4/NF,Co,1,0,0,0,0,7,1,1,NF,0,2,0,0,0,0,0,1,0,0,0,0,2.571428571,14,,340
MnO2/NiCo2O4/NF,Ni,1,0,0,0,0,7,1,1,NF,0,0.76,17.344,0,0,1,0,0,0,0,0,0,,14,,340
CFP/NiCo2O4/ Co0.57Ni0.43 LMO,Co,1,1,1,0,0,4,2,1,carbon_based,0,2.57,1.43,0,0,0,0,0,0,0,0,0,5.625,13,,340
N-CG-CoO,Co,1,1,3,1,0,6,2,0,GC,0,1,0,0,0,0,0,0,0,0,0,0,,14,0.7,340
Co3O4,Co,1,0,0,0,0,7,3,0,TM_based,0,3,0,0,0,0,0,0,0,0,0,0,,14,0.4,340
Co3O4,Co,1,1,3,0,0,7,3,1,carbon_based,0,3,0,0,0,0,0,0,0,0,0,0,2.57,14,,340
Co3O4/CC,Co,1,1,3,0,0,2,2,1,carbon_based,0,3,0,0,0,0,0,0,0,0,0,0,,14,,341
NiFe2O4/NF,Fe,1,0,0,0,0,7,1,1,NF,0,0,1,2,0,0,0,0,0,0,0,0,5.6,14,,343
Fe2O3@Ni2Co-LDH,Fe,1,0,0,0,0,4,0,1,NF,0,1,2,2,0,0,0,0,0,0,0,0,,14,1,344
Co–Fe–O/rgo,Co,1,1,4,0,0,3,0,0,GC,0,4,0,1,0,0,0,0,0,0,0,0,5,14,0.1,350
CoFe2O4,Fe,1,0,0,0,0,8,1,1,NF,0,1,0,2,0,0,0,0,0,0,0,0,,14,1.03,350
Co3O4/NF,Co,1,0,0,0,0,7,1,1,NF,0,3,0,0,0,0,0,0,0,0,0,0,,14,0.3,350
NiCo2O4/NF,Co,1,0,0,0,0,2,1,1,NF,0,2,1,0,0,0,0,0,0,0,0,0,3.5,14,3,350
VO2 (Anneal)/CFP,Other TMs,1,0,0,0,0,3,2,0,carbon_based,0,0,0,0,0,0,0,0,0,1,0,0,5.6,14,,350
NiCo2O4,Co,1,1,3,0,0,2,2,1,carbon_based,0,2,1,0,0,0,0,0,0,0,0,0,,13,,350
Fe2O3/IF,Fe,1,0,0,0,0,7,3,1,TM_based,0,0,0,2,0,0,0,0,0,0,0,0,6,14,,350
Fe-NiOx,Fe,1,0,0,0,0,7,0,0,GC,0,0,1,1,0,0,0,0,0,0,0,0,5.918083462,14,0.4,355
Co4.5Fe5.5Ox / NPC,Fe,1,1,2,1,0,7,0,1,GC,0,4.5,0,5.5,0,0,0,0,0,0,0,0,,14,0.357,356
NiCo2O4/NiO,Co,1,0,0,0,0,7,0,0,GC,0,2,2,0,0,0,0,0,0,0,0,0,0.5,14,1.06,360
CuCo2O4/NrGO,Co,1,1,4,1,0,3,0,0,GC,0,2,0,0,0,0,1,0,0,0,0,0,,14,0.14,360
NiCo2O,Co,1,0,0,0,0,6,0,1,GC,0,2,1,0,0,0,0,0,0,0,0,0,,14,0.2,362
Co6.7Fe3.3Ox / NPC,Co,1,1,2,1,0,7,0,1,GC,0,6.7,0,3.3,0,0,0,0,0,0,0,0,3.5,14,0.357,362
Ir@Co3O4,Co,1,0,0,0,0,2,0,0,GC,0,3,0,0,0,0,0,0,0,0,0,0,,13,0.285,365
Ni/NiO/NiCo2O4–N-CNT,Ni,1,1,1,1,0,3,0,1,GC,0,2,3,0,0,0,0,0,0,0,0,0,2.428571429,13,0.24,370
NiCo2O4/NF,Co,1,0,0,0,0,7,1,1,NF,0,2,1,0,0,0,0,0,0,0,0,0,2.428571429,13,0.57,370
Fe2O3/NF,Fe,1,0,0,0,0,7,1,1,NF,0,0,0,2,0,0,0,0,0,0,0,0,,14,0.05,378
NiOx,Ni,1,0,0,0,0,7,1,0,TM_based,0,0,1,0,0,0,0,0,0,0,0,0,3.071428571,14,,378
MnOx/CNT,Other TMs,1,1,1,0,0,6,0,0,GC,0,0,0,0,0,1,0,0,0,0,0,0,5.25,14,0.28,379
0.61NiMnO3/NiMn2O4,Ni,1,0,0,0,0,3,0,0,GC,0,0,1.89,0,0,3,0,0,0,0,0,0,6,13,0.24,380
Co0.77Fe9.23Ox / NPC,Fe,1,1,2,1,0,7,0,1,GC,0,0.77,0,9.23,0,0,0,0,0,0,0,0,2.428571429,14,0.357,380
NiCo2O4/CT,Co,1,0,0,0,0,2,2,1,carbon_based,0,2,1,0,0,0,0,0,0,0,0,0,5.918083462,14,0.6,380
CoO-Co/NCNT,Co,1,1,1,1,0,3,2,0,GC,0,2,0,0,0,0,0,0,0,0,0,0,2.57,14,0.21,380
NiCo2O4/GN,Co,1,1,2,0,0,6,0,1,GC,0,2,1,0,0,0,0,0,0,0,0,0,5.243445693,14,25.5,383
Co3O4/C,Co,1,1,3,0,0,2,0,1,GC,0,3,0,0,0,0,0,0,0,0,0,0,5.25,13,0.2,387
Co–Fe–O/rgo,Fe,1,1,4,0,0,3,0,0,GC,0,1,0,4,0,0,0,0,0,0,0,0,2.428571429,14,0.1,390
Co-CoO/N-rGO,Co,1,1,4,1,0,2,2,1,GC,0,2,0,0,0,0,0,0,0,0,0,0,,13,0.21,390
NiCoO2@OMC,Ni,1,1,3,0,0,3,2,1,GC,0,1,1,0,0,0,0,0,0,0,0,0,,14,0.567,390
Metal Ion Doped MnO2/CFP,Other TMs,1,1,1,0,0,7,2,1,carbon_based,0,0.016,0.002,0.109,0,1,0,0,0,0.109,0,0,3.75,14,800,390
Ni/NiCo2O4–N-CNT,Ni,1,1,1,1,0,3,0,1,GC,0,2,2,0,0,0,0,0,0,0,0,0,6,13,0.24,392
Co3O4,Co,1,0,0,0,0,7,3,0,TM_based,0,3,0,0,0,0,0,0,0,0,0,0,4.55,13,0.4,392
NiCo2O4/Ti4O7,Co,1,0,0,0,0,7,0,0,GC,0,2,1,0,0,0,0,0,0,0,0,4,2.71,14,,398
Co3O4,Co,1,1,3,0,0,2,0,1,TM_based,0,3,0,0,0,0,0,0,0,0,0,0,,13,0.2,398
Co–Fe–O/rgo,Co,1,1,4,0,0,3,0,0,GC,0,1,0,1,0,0,0,0,0,0,0,0,2.571428571,14,0.1,400
Co3O4/NrGO,Co,1,1,4,1,0,3,0,0,GC,0,3,0,0,0,0,0,0,0,0,0,0,1.5,14,0.14,400
NiO-Ni/NCNT,Ni,1,1,1,1,0,3,2,0,GC,0,0,2,0,0,0,0,0,0,0,0,0,,14,0.21,400
NiCo2O4–N-CNT,Co,1,1,1,1,0,3,0,1,GC,0,2,1,0,0,0,0,0,0,0,0,0,1.166666667,13,0.24,406
Co8.7Fe1.3Ox / NPC,Co,1,1,2,1,0,7,0,1,GC,0,8.7,0,1.3,0,0,0,0,0,0,0,0,2.71,14,0.357,408
Co3O4,Co,1,0,0,0,0,2,3,1,TM_based,0,3,0,0,0,0,0,0,0,0,0,0,2.571428571,13,,408
Ni2CoO,Ni,1,0,0,0,0,6,0,1,GC,0,1,2,0,0,0,0,0,0,0,0,0,4.666666667,13,0.2,410
CuCo2O4/NrGO,Co,1,1,4,1,0,3,0,0,GC,0,2,0,0,0,0,1,0,0,0,0,0,2.428571429,14,0.14,410
Co3O4/NF,Co,1,0,0,0,0,6,1,1,NF,0,3,0,0,0,0,0,0,0,0,0,0,2.57,13,0.57,410
NiCo2O4/C,Co,1,1,3,0,0,7,0,0,GC,0,2,1,0,0,0,0,0,0,0,0,0,,14,,414
NiCo2O4/C,Co,1,1,3,0,0,3,0,0,GC,0,2,1,0,0,0,0,0,0,0,0,0,4.714285714,14,,418
ZnCo2O4/CF,Co,1,1,1,0,0,2,2,0,carbon_based,0,2,0,0,0,0,0,1,0,0,0,0,3.5,14,,419
Co–Fe–O,Co,1,0,0,0,0,3,0,0,GC,0,2,0,1,0,0,0,0,0,0,0,0,,14,0.1,420
Co@Co3O4/NC-CNT,Co,1,1,1,1,0,4,0,1,GC,0,4,0,0,0,0,0,0,0,0,0,0,2.428571429,14,0.21,420
CG-CoO,Co,1,1,3,0,0,6,2,0,GC,0,1,0,0,0,0,0,0,0,0,0,0,4,14,0.7,420
CoO@OMC,Co,1,1,3,0,0,3,2,1,GC,0,1,0,0,0,0,0,0,0,0,0,0,3.5,14,0.567,420
S-CoO@N-RGO,Co,1,1,4,1,1,3,0,0,GC,16,1,0,0,0,0,0,0,0,0,0,0,1.5,13,0.2,426
1.57NiMnO3/NiMn2O4,Ni,1,0,0,0,0,3,0,0,GC,0,0,2.22,0,0,3,0,0,0,0,0,0,,13,0.24,430
Co10Ox / NPC,Co,1,1,2,1,0,7,0,1,GC,0,10,0,0,0,0,0,0,0,0,0,0,3.114285714,14,0.357,430
3.11NiMnO3/NiMn2O4,Ni,1,0,0,0,0,3,0,0,GC,0,0,2.52,0,0,3,0,0,0,0,0,0,2.57,13,0.24,435
CuO@FTO,Other TMs,1,0,0,0,0,5,3,0,TM_based,0,0,0,0,0,0,1,0,0,0,0,0,6,14,,436
Co3O4/NrGO,Co,1,1,4,1,0,3,0,0,GC,0,3,0,0,0,0,0,0,0,0,0,0,2.57,14,0.14,440
NiCo2O4/graphene,Co,1,1,2,0,0,7,0,1,GC,0,2,1,0,0,0,0,0,0,0,0,0,3.333333333,13,0.407,440
Mn3O4/CoSe2,Other TMs,1,0,0,0,0,4,0,0,GC,34,1,0,0,0,3,0,0,0,0,0,0,6,13,0.2,450
NiCo2O4/rGO,Co,1,1,4,0,0,7,0,1,GC,0,2,1,0,0,0,0,0,0,0,0,0,,13,1.167,450
