Compound,Compound Class,Composite (Y or N),Oxided or nitrided,Presence of Carbon,Carbon Structures,N-doped Carbon Structure (0 or 1),Doping (other than TMs),Morphology Category,Grown on,"Porous - 1, Non-Porous - 0",Substrates,Presence of atoms (other than TMs),Cobalt atoms,Nickel atoms,Iron atoms,Molybdenum atoms,Manganese atoms,Copper atoms,Zinc atoms,Chromium Atoms,Vanadium Atoms,Tungsten atoms,Titanium atoms,Average d electrons,Is Average d electrons>=5? Yes (1) or no (0),pH,Catalyst Loading (mg/cm2),Catalyst>=1 or not,Overpotential (mV),Grade
Na0.08Ni0.9Fe0.1O2,Ni,1,0,0,0,0,1,8,0,0,NF,11,0,0.9,0.1,0,0,0,0,0,0,0,0,,,14,0.13,0,260,A
Na0.01Ni0.9Fe0.1O2,Ni,1,0,0,0,0,1,8,0,0,NF,11,0,0.9,0.1,0,0,0,0,0,0,0,0,,,14,0.13,0,270,A
Na0.41Ni0.9Fe0.1O2,Ni,1,0,0,0,0,1,8,0,0,NF,11,0,0.9,0.1,0,0,0,0,0,0,0,0,,,14,0.13,0,270,A
NaNi0.9Fe0.1O2,Ni,1,0,0,0,0,1,8,0,0,NF,11,0,0.9,0.1,0,0,0,0,0,0,0,0,,,14,0.13,0,290,A
Co3O4/NrGO,Co,1,0,1,4,1,0,3,0,0,GC,0,3,0,0,0,0,0,0,0,0,0,0,1.5,0,14,0.14,0,400,F
CuCo2O4/NrGO,Co,1,0,1,4,1,0,3,0,0,GC,0,2,0,0,0,0,1,0,0,0,0,0,2.428571429,0,14,0.14,0,410,F
Co3O4,Co,0,0,0,0,0,0,3,0,0,GC,0,3,0,0,0,0,0,0,0,0,0,0,2.428571429,0,14,0.14,0,420,F
Co3O4/NrGO,Co,1,0,1,4,1,0,3,0,0,GC,0,3,0,0,0,0,0,0,0,0,0,0,2.57,0,14,0.14,0,440,F
CuCo2O4,Co,0,0,0,0,0,0,3,0,0,GC,0,2,0,0,0,0,1,0,0,0,0,0,6,1,14,0.14,0,400,F
CuCo2O4/NrGO,Co,1,0,1,4,1,0,3,0,0,GC,0,2,0,0,0,0,1,0,0,0,0,0,,,14,0.14,0,360,F
Ni1.5Fe1.5-O,Fe,1,0,0,0,0,0,2,1,1,NF,0,0,1.5,1.5,0,0,0,0,0,0,0,0,7,1,14,0.15,0,290,A
Ni2Fe1-O,Ni,1,0,0,0,0,0,2,0,1,GC,0,0,2,1,0,0,0,0,0,0,0,0,,,14,0.15,0,244,A
Ni1Fe2-O,Fe,1,0,0,0,0,0,2,1,1,NF,0,0,1,2,0,0,0,0,0,0,0,0,,,14,0.15,0,316,A
Co2.25Cr0.75O4,Co,0,0,0,0,0,0,3,0,0,GC,0,2.25,0,0,0,0,0,0,0.75,0,0,0,2.428571429,0,14,0.168,0,394,F
S-CoO@N-RGO,Co,1,0,1,4,1,1,3,0,0,GC,16,1,0,0,0,0,0,0,0,0,0,0,1.5,0,13,0.2,0,426,F
O-S-Co5.47N@N-RGO,Co,1,1,1,4,1,1,3,0,0,GC,16,5.47,0,0,0,0,0,0,0,0,0,0,2.428571429,0,13,0.2,0,380,F
Co0.05Fe0.95N0.5,Fe,0,1,0,0,0,0,7,0,0,GC,0,0.054,0,0.946,0,0,0,0,0,0,0,0,2.428571429,0,14,0.2,0,320,A
Fe1N0.5,Fe,0,1,0,0,0,0,7,0,0,GC,0,0,0,0,0,0,0,0,0,0,0,0,2.57,0,14,0.2,0,365,F
NiO/CoN,Co,1,1,1,1,0,0,2,2,1,carbon_based,0,1,1,0,0,0,0,0,0,0,0,0,2.857,0,14,0.2,0,300,A
Ni2CoO,Ni,1,0,0,0,0,0,6,0,1,GC,0,1,2,0,0,0,0,0,0,0,0,0,4.666666667,0,13,0.2,0,410,F
Co3O4/C,Co,1,0,1,3,0,0,2,0,1,GC,0,3,0,0,0,0,0,0,0,0,0,0,5.25,1,13,0.2,0,387,F
Co3O4/C,Co,1,0,1,3,0,0,2,3,1,TM_based,0,3,0,0,0,0,0,0,0,0,0,0,6,1,14,0.2,0,223,A
NiCo2O4,Co,1,0,1,1,0,0,2,2,0,carbon_based,0,2,1,0,0,0,0,0,0,0,0,0,6,1,14,0.2,0,325,A
Mn3O4/CoSe2,Other TMs,1,0,0,0,0,0,4,0,0,GC,34,1,0,0,0,3,0,0,0,0,0,0,6,1,13,0.2,0,450,F
NiO,Ni,0,0,0,0,0,0,6,0,0,GC,0,0,1,0,0,0,0,0,0,0,0,0,6,1,13,0.2,0,427,F
Co0.2Fe0.8N0.5,Fe,0,1,0,0,0,0,7,0,0,GC,0,0.207,0,0.793,0,0,0,0,0,0,0,0,6,1,14,0.2,0,291,A
Ni2Fe1-O,Ni,1,0,0,0,0,0,2,0,1,GC,0,0,2,1,0,0,0,0,0,0,0,0,,,14,0.2,0,256,A
Co3O4/C,Co,1,0,1,3,0,0,2,3,1,TM_based,0,3,0,0,0,0,0,0,0,0,0,0,,,13,0.2,0,290,A
Co3O4,Co,1,0,1,3,0,0,2,0,1,TM_based,0,3,0,0,0,0,0,0,0,0,0,0,,,13,0.2,0,398,F
Co3O4,Co,0,0,0,0,0,0,3,0,0,GC,0,3,0,0,0,0,0,0,0,0,0,0,,,13,0.2,0,426,F
NiCo2O,Co,1,0,0,0,0,0,6,0,1,GC,0,2,1,0,0,0,0,0,0,0,0,0,,,14,0.2,0,362,F
Co0.15Fe0.85N0.5,Fe,0,1,0,0,0,0,7,0,0,GC,0,0.169,0,0.831,0,0,0,0,0,0,0,0,,,14,0.2,0,266,A
Co0.1Fe0.9N0.5,Fe,0,1,0,0,0,0,7,0,0,GC,0,0.109,0,0.891,0,0,0,0,0,0,0,0,,,14,0.2,0,300,A
Ni3FeN,Ni,0,1,0,0,0,0,3,0,1,GC,0,0,3,1,0,0,0,0,0,0,0,0,2.428571429,0,14,0.203,0,279,A
NiO,Ni,0,0,0,0,0,0,6,0,1,GC,0,0,1,0,0,0,0,0,0,0,0,0,3.5,0,14,0.203,0,415,F
Ni3FeN,Ni,0,1,0,0,0,0,6,0,1,GC,0,0,3,1,0,0,0,0,0,0,0,0,6,1,14,0.203,0,259,A
Ni3N,Ni,0,1,0,0,0,0,6,0,1,GC,0,0,3,0,0,0,0,0,0,0,0,0,,,14,0.203,0,315,A
Ni3FeOx,Ni,0,0,0,0,0,0,6,0,1,GC,0,0,3,1,0,0,0,0,0,0,0,0,,,14,0.203,0,352,F
Co3O4,Co,0,0,1,4,0,0,7,0,0,GC,0,3,0,0,0,0,0,0,0,0,0,0,1.814285714,0,14,0.204,0,430,F
Co3O4/CeO2,Co,1,0,1,4,0,1,4,0,0,GC,58,3,0,0,0,0,0,0,0,0,0,0,,,14,0.204,0,270,A
CoO-NiO-NiCo/NCNT,Co,1,0,1,1,1,0,3,2,0,GC,0,2,2,0,0,0,0,0,0,0,0,0,1.214285714,0,14,0.21,0,270,A
ZnxCo3–xO4,Co,0,0,0,0,0,0,6,0,1,GC,0,2.23,0,0,0,0,0,1,0,0,0,0,1.272727273,0,14,0.21,0,337,A
Co2.25Cr0.75O4,Co,0,0,0,0,0,0,3,0,0,GC,0,2.25,0,0,0,0,0,0,0.75,0,0,0,1.814285714,0,14,0.21,0,380,F
ZnCo2O4,Co,0,0,0,0,0,0,6,0,1,GC,0,2,0,0,0,0,0,1,0,0,0,0,2.035714286,0,14,0.21,0,380,F
Ni-NiO/N-rGO,Ni,1,0,1,4,1,0,3,2,0,GC,0,0,2,0,0,0,0,0,0,0,0,0,2.428571429,0,13,0.21,0,240,A
Co3O4,Co,0,0,0,0,0,0,3,0,1,GC,0,3,0,0,0,0,0,0,0,0,0,0,2.428571429,0,14,0.21,0,384,F
Co@Co3O4/NC-CNT,Co,1,0,1,1,1,0,4,0,1,GC,0,4,0,0,0,0,0,0,0,0,0,0,2.428571429,0,14,0.21,0,420,F
CoO-Co/NCNT,Co,1,0,1,1,1,0,3,2,0,GC,0,2,0,0,0,0,0,0,0,0,0,0,2.57,0,14,0.21,0,380,F
Co3O4,Co,0,0,0,0,0,0,6,0,1,GC,0,3,0,0,0,0,0,0,0,0,0,0,2.57,0,14,0.21,0,422,F
Co3V2O8,Co,0,0,0,0,0,0,3,0,1,GC,0,3,0,0,0,0,0,0,0,2,0,0,3.285714286,0,14,0.21,0,359,F
NixCo3–xO4,Co,0,0,0,0,0,0,6,0,1,GC,0,2.25,1,0,0,0,0,0,0,0,0,0,5.25,1,14,0.21,0,363,F
Co-CoO/N-rGO,Co,1,0,1,4,1,0,2,2,1,GC,0,2,0,0,0,0,0,0,0,0,0,0,,,13,0.21,0,390,F
NiO-Ni/NCNT,Ni,1,0,1,1,1,0,3,2,0,GC,0,0,2,0,0,0,0,0,0,0,0,0,,,14,0.21,0,400,F
CuxCo3–xO4,Co,0,0,0,0,0,0,6,0,1,GC,0,2,0,0,0,0,1,0,0,0,0,0,,,14,0.21,0,395,F
LiCoO2,Co,0,0,1,3,0,0,8,0,0,GC,3,1,0,0,0,0,0,0,0,0,0,0,4.5,0,12.6,0.232,0,430,F
LiCo0.8Fe0.2O2,Co,0,0,1,3,0,0,8,0,0,GC,3,0.8,0,0.2,0,0,0,0,0,0,0,0,5.6,1,12.6,0.232,0,340,A
NiCo2O4–N-CNT,Co,1,0,1,1,1,0,3,0,1,GC,0,2,1,0,0,0,0,0,0,0,0,0,1.166666667,0,13,0.24,0,406,F
6%Te-Co3O4,Co,0,0,0,0,0,1,3,0,0,GC,52,3,0,0,0,0,0,0,0,0,0,0,2.42,0,14,0.24,0,313,A
4%Te-Co3O4,Co,0,0,0,0,0,1,3,0,0,GC,52,3,0,0,0,0,0,0,0,0,0,0,2.428571429,0,14,0.24,0,353,F
Ni/NiO/NiCo2O4–N-CNT,Ni,1,0,1,1,1,0,3,0,1,GC,0,2,3,0,0,0,0,0,0,0,0,0,2.428571429,0,13,0.24,0,370,F
3.11NiMnO3/NiMn2O4,Ni,1,0,0,0,0,0,3,0,0,GC,0,0,2.52,0,0,3,0,0,0,0,0,0,2.57,0,13,0.24,0,435,F
Co-Fe-N,Co,1,1,0,0,0,0,1,0,0,GC,0,4,0,4,0,0,0,0,0,0,0,0,4.4,0,14,0.24,0,397,F
Co-Fe-N@MWCNT,Co,1,1,1,1,1,0,3,2,0,GC,0,3.61,0,1,0,0,0,0,0,0,0,0,5.243445693,1,14,0.24,0,290,A
0.61NiMnO3/NiMn2O4,Ni,1,0,0,0,0,0,3,0,0,GC,0,0,1.89,0,0,3,0,0,0,0,0,0,6,1,13,0.24,0,380,F
Ni/NiCo2O4–N-CNT,Ni,1,0,1,1,1,0,3,0,1,GC,0,2,2,0,0,0,0,0,0,0,0,0,6,1,13,0.24,0,392,F
Ni/NiO/NiCo2O4–N-CNT,Ni,1,0,1,1,1,0,3,0,1,GC,0,2,3,0,0,0,0,0,0,0,0,0,,,14,0.24,0,240,A
Co-N@MWCNT,Co,1,1,1,1,1,0,3,2,0,GC,0,4,0,0,0,0,0,0,0,0,0,0,,,14,0.24,0,349,A
8%Te-Co3O4,Co,0,0,0,0,0,1,3,0,0,GC,52,3,0,0,0,0,0,0,0,0,0,0,,,14,0.24,0,358,F
Co3O4,Co,0,0,0,0,0,0,3,0,0,GC,0,3,0,0,0,0,0,0,0,0,0,0,,,14,0.24,0,374,F
1.57NiMnO3/NiMn2O4,Ni,1,0,0,0,0,0,3,0,0,GC,0,0,2.22,0,0,3,0,0,0,0,0,0,,,13,0.24,0,430,F
Ni3N|Ni2P|BP,Ni,1,1,0,0,0,0,7,0,0,GC,15,0,5,0,0,0,0,0,0,0,0,0,5.5,1,13.8,0.25,0,247,A
Ni3FeN,Ni,0,1,0,0,0,0,1,0,0,GC,0,0,3,1,0,0,0,0,0,0,0,0,6,1,14,0.25,0,280,A
