Compound,Compound Class,Composite (Y or N),Oxided or nitrided,Presence of Carbon,Carbon Structures,N-doped Carbon Structure (0 or 1),Doping (other than TMs),Morphology Category,Grown on,"Porous - 1, Non-Porous - 0",Substrates,Presence of atoms (other than TMs),Cobalt atoms,Nickel atoms,Iron atoms,Molybdenum atoms,Manganese atoms,Copper atoms,Zinc atoms,Chromium Atoms,Vanadium Atoms,Tungsten atoms,Titanium atoms,Average d electrons,pH,Concentration Electrolyte,Catalyst Loading (mg/cm2),Overpotential (mV)
CoNi(3:1)-N,Co,0,1,0,0,0,0,7,0,1,GC,0,3,1,0,0,0,0,0,0,0,0,0,2.57,14,1,0.458,320
P/Ni1.5Co1.5N,Co,0,1,0,0,0,1,2,0,1,GC,15,1.5,1.5,0,0,0,0,0,0,0,0,0,2.428571429,14,1,0.27,320
Fe3CoO,Co,0,0,1,3,0,0,7,0,0,GC,0,1,0,3,0,0,0,0,0,0,0,0,5.425,13,0.1,0.36,323
Zn0.2Co2.8O4,Co,0,0,0,0,0,0,3,0,0,GC,0,2.8,0,0,0,0,0,0.2,0,0,0,0,4.333333333,13,0.1,1,325
CuCoO,Co,0,0,0,0,0,0,2,1,1,NF,0,1,0,0,0,0,1,0,0,0,0,0,2.428571429,14,1,1,325
CoCrOx,Co,0,0,0,0,0,0,8,0,0,GC,0,1,0,0,0,0,0,0,1,0,0,0,2.428571429,14,1,0.4,326
Co3O4,Co,0,0,0,0,0,0,2,0,0,GC,0,3,0,0,0,0,0,0,0,0,0,0,2.57,14,1,0.64,327
CoOx,Co,0,0,0,0,0,0,8,0,0,GC,0,1,0,0,0,0,0,0,0,0,0,0,5.6,14,1,0.4,327
Co3O4,Co,0,0,0,0,0,0,3,0,0,NF,0,3,0,0,0,0,0,0,0,0,0,0,5.2,14,1,1,328
NiCo2O4,Co,0,0,0,0,0,0,6,0,1,carbon_based,0,2,1,0,0,0,0,0,0,0,0,0,3.5,14,1,0.5,330
Co4N,Co,0,1,0,0,0,0,1,0,0,GC,0,4,0,0,0,0,0,0,0,0,0,0,2.571428571,14,1,0.285,330
Co4N,Co,0,1,0,0,0,0,2,0,0,GC,0,4,0,0,0,0,0,0,0,0,0,0,,14,1,0.125,330
CoMn(3:1)-N,Co,0,1,0,0,0,0,7,0,1,GC,0,3,0,0,0,1,0,0,0,0,0,0,,14,1,0.458,330
Co2.25Cr0.75O4,Co,0,0,0,0,0,0,3,0,0,GC,0,2.25,0,0,0,0,0,0,0.75,0,0,0,2.428571429,14,1,1.68,332
CoOx,Co,0,0,0,0,0,0,8,0,0,NF,0,1,0,0,0,0,0,0,0,0,0,0,6,14,1,0.4,333
Co3O4,Co,0,0,0,0,0,0,7,0,1,GC,0,3,0,0,0,0,0,0,0,0,0,0,,13,0.1,0.34,335
NiCo2−xFexO4,Co,0,0,0,0,0,0,3,0,0,carbon_based,0,1.883,1,0.117,0,0,0,0,0,0,0,0,5.6,14,1,0.5,336
Co3−xFexO4,Co,0,0,0,0,0,0,6,0,1,carbon_based,0,2.883,0,0.117,0,0,0,0,0,0,0,0,2.428571429,14,1,0.5,337
ZnxCo3–xO4,Co,0,0,0,0,0,0,6,0,1,GC,0,2.23,0,0,0,0,0,1,0,0,0,0,1.272727273,14,1,0.21,337
CoN,Co,0,1,0,0,0,0,6,2,1,GC,0,1,0,0,0,0,0,0,0,0,0,0,2.428571429,14,1,0.306,338
Co3O4 ,Co,0,0,0,0,0,0,3,0,0,NF,0,3,0,0,0,0,0,0,0,0,0,0,5.918083462,14,1,1,339
Co2V2O7,Co,0,0,0,0,0,0,7,0,1,GC,0,2,0,0,0,0,0,0,0,2,0,0,2.857,14,1,0.28,340
Co5.47N,Co,0,1,0,0,0,0,1,0,0,GC,0,5.47,0,0,0,0,0,0,0,0,0,0,,14,1,0.459,340
Co5.47N,Co,0,1,0,0,0,0,7,0,1,GC,0,5.47,0,0,0,0,0,0,0,0,0,0,,14,1,0.458,340
